School,Department,Personnel,Expenses (unit:1000),Space,Teaching,Publications,Grants (unit:1000),u_0,TE,OE,SE,return to scale
Liberal Arts,Chinese,0.000000,0.000164,0.000000,0.000032,0.006843,0.000000,-0.100900,0.968282,0.935939,0.967000,IRS
Liberal Arts,Foreign Languages,0.000000,0.000000,0.000219,0.000424,0.000000,0.000000,16.000831,1.000000,1.000000,1.000000,DRS
Liberal Arts,History,0.000000,0.000196,0.000000,0.000034,0.000000,0.000000,-0.190536,0.660915,0.567983,0.859000,IRS
Liberal Arts,Arts,0.164011,0.000000,0.000010,0.000131,0.000000,0.000000,-0.355262,1.000000,0.770042,0.770000,IRS
Sciences,Mathematics,0.000000,0.000141,0.000022,0.000033,0.009524,0.000000,0.037731,1.000000,1.000000,1.000000,DRS
Sciences,Physics,0.000000,0.000096,0.000013,0.000022,0.006270,0.000000,0.021376,1.000000,1.000000,1.000000,DRS
Sciences,Chemistry,0.028413,0.000000,0.000008,0.000026,0.003606,0.000000,-0.018094,0.811823,0.804803,0.991000,IRS
Sciences,Earth Sciences,0.046929,0.000020,0.000031,0.000044,0.001109,0.000006,-0.160701,0.791274,0.717626,0.907000,IRS
Sciences,Biology,0.051698,0.000006,0.000000,0.000042,0.001159,0.000005,-0.110124,0.711658,0.665280,0.935000,IRS
Sciences,Biotechnology,0.000000,0.000000,0.000856,0.000000,0.000000,0.000026,-0.618384,1.000000,0.632991,0.633000,IRS
Engineering,Mechanical Eng.,0.000000,0.000070,0.000000,0.000014,0.002434,0.000001,-0.034197,0.854853,0.852982,0.998000,IRS
Engineering,Electrical Eng.,0.017606,0.000000,0.000000,0.000016,0.000000,0.000002,0.027833,1.000000,1.000000,1.000000,DRS
Engineering,Information Eng.,0.055340,0.000000,0.000016,0.000051,0.007024,0.000000,-0.035242,0.981559,0.962564,0.981000,IRS
Engineering,Chemical Eng.,0.008617,0.000054,0.000000,0.000015,0.004014,0.000000,-0.075069,1.000000,1.000000,1.000000,IRS
